"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Trpm4","0.512","-2.682","0.672","-0.372"
"Wdr44","0.513","-2.679","0.192","-0.250"
"Stk25","0.516","2.675","2.118","0.621"
"mt-Nd4","0.516","2.675","0.539","0.377"
"Jun","0.518","2.673","0.944","0.529"
"Car9","0.522","-2.669","0.638","-0.434"
"Sdhd","0.522","-2.668","0.645","-0.353"
"Rbpj","0.525","-2.664","0.108","-0.183"
"Med11","0.525","-2.663","0.147","-0.185"
"Pdia4","0.525","-2.663","0.349","-0.284"
"Dnmt1","0.532","-2.657","0.153","-0.201"
"Tpst2","0.533","-2.653","8.507e-02","-0.131"
"Ccdc171","0.533","-2.652","0.163","-0.211"
"Cox7c","0.533","-2.652","0.596","-0.339"
"Atad3a","0.533","-2.651","0.180","-0.227"
"Reg1","0.533","2.650","5.460e-02","9.431e-02"
"Zbtb41","0.533","-2.649","7.846e-02","-0.144"
"Tcte2","0.535","-2.646","8.505e-02","-0.183"
"Tmprss2","0.535","-2.646","1.138","-0.458"
"Tysnd1","0.535","-2.643","0.101","-0.154"
"Paip1","0.535","-2.642","0.180","-0.219"
"Nt5e","0.535","2.642","1.186","0.499"
"Gramd1b","0.535","-2.640","0.353","-0.295"
"Capn10","0.535","-2.640","0.388","-0.291"
"Arhgap32","0.535","-2.639","0.202","-0.229"
"Amer1","0.535","-2.637","6.457e-02","-0.133"
"Rasef","0.535","2.636","1.043","0.456"
"Psen2","0.535","-2.635","0.202","-0.204"
"Abcc3","0.535","2.634","2.218","0.428"
"Kif18a","0.535","-2.633","7.155e-02","-0.170"
"Akap8","0.535","-2.633","0.651","-0.377"
"Pccb","0.540","-2.628","9.686e-02","-0.128"
"Dag1","0.540","-2.626","0.445","-0.300"
"Cnot7","0.540","-2.626","0.227","-0.235"
"Nelfb","0.540","-2.625","0.568","-0.338"
"Lsg1","0.540","-2.624","0.198","-0.209"
"Megf6","0.540","-2.624","5.146e-02","-0.122"
"M6pr","0.540","-2.623","0.341","-0.276"
"Stc2","0.550","-2.615","0.228","-0.246"
"Slc25a13","0.552","-2.612","8.795e-02","-0.146"
"Snrpa","0.554","-2.610","0.169","-0.184"
"Cbarp","0.554","-2.609","7.108e-02","-0.130"
"Hsp90b1","0.554","-2.607","0.731","-0.380"
"Pdss1","0.554","-2.607","0.105","-0.157"
"Ero1l","0.556","2.605","1.609","0.523"
"Ogdh","0.558","-2.602","1.347","-0.441"
"Gucd1","0.559","-2.601","0.182","-0.236"
"Vrk1","0.561","-2.598","4.918e-02","-0.117"
"Cyfip1","0.567","2.593","0.534","0.339"
"Lman1","0.572","-2.589","0.246","-0.212"
"Utp14a","0.573","-2.585","7.593e-02","-0.134"
"Lnx2","0.573","-2.585","0.288","-0.261"
"Myo15b","0.573","2.584","1.226","0.575"
"Ier5","0.573","2.583","0.594","0.391"
"Herpud2","0.573","2.582","8.687e-02","0.150"
"Psmc3","0.573","-2.581","0.316","-0.263"
"Coa5","0.573","-2.581","0.270","-0.232"
"Neil2","0.573","-2.580","0.129","-0.181"
"Tmem35b","0.575","2.577","6.140e-02","0.106"
"Omp","0.575","2.576","0.780","0.478"
"Enc1","0.575","-2.575","0.351","-0.306"
"Tsen34","0.575","-2.575","0.310","-0.260"
"Bicd1","0.575","-2.574","5.466e-02","-0.122"
"Tor1b","0.575","-2.572","0.158","-0.199"
"Gtpbp6","0.575","-2.572","0.357","-0.282"
"Mavs","0.578","-2.570","0.170","-0.182"
"Ly6e","0.579","-2.568","0.446","-0.304"
"Stard10","0.579","-2.566","1.508","-0.484"
"Tcaf2","0.579","-2.566","2.618e-02","-4.857e-02"
"Tedc2","0.580","-2.564","5.476e-02","-0.130"
"mt-Co2","0.580","2.563","1.753","0.660"
"Klf9","0.582","2.561","0.367","0.292"
"Map3k1","0.582","-2.559","0.441","-0.305"
"Mgll","0.582","2.557","0.986","0.498"
"Puf60","0.582","-2.555","0.382","-0.291"
"Tma7","0.582","-2.554","7.489e-02","-0.109"
"Zcchc2","0.582","-2.554","0.286","-0.258"
"Lap3","0.582","-2.554","0.101","-0.151"
"Sp3","0.582","2.554","0.308","0.271"
"Car5b","0.582","-2.554","7.405e-02","-0.146"
"Cep78","0.582","-2.551","3.896e-02","-8.465e-02"
"Fbxl6","0.582","-2.551","8.779e-02","-0.140"
"Apob","0.582","2.551","0.170","0.203"
"Usp1","0.584","-2.549","5.829e-02","-0.138"
"Arsa","0.584","-2.547","8.185e-02","-0.132"
"Teddm3","0.584","-2.546","0.460","-0.302"
"Hspbp1","0.584","-2.546","0.127","-0.148"
"Tle3","0.584","-2.545","0.428","-0.296"
"Birc6","0.587","-2.542","0.318","-0.277"
"Zxdb","0.587","-2.541","0.104","-0.144"
"Wwc1","0.589","-2.539","0.549","-0.347"
"Aga","0.590","-2.537","0.115","-0.168"
"Celsr1","0.590","-2.537","0.210","-0.231"
"Kmt5a","0.590","2.535","1.209","0.429"
"Prima1","0.590","-2.535","0.152","-0.192"
"Khdrbs3","0.590","-2.534","9.394e-02","-0.151"
"Psmd1","0.590","-2.533","0.310","-0.273"
"Wdr70","0.596","-2.529","9.730e-02","-0.149"
"Pnkp","0.599","-2.525","0.176","-0.207"
"Spry1","0.601","-2.523","7.565e-02","-0.146"
"Nap1l4","0.601","-2.522","0.276","-0.255"
"B2m","0.602","-2.520","0.152","-0.187"
"Pusl1","0.602","-2.519","5.917e-02","-0.118"
"Mpc1","0.602","-2.519","0.249","-0.255"
"Tmem171","0.603","-2.517","0.218","-0.211"
"Il10rb","0.603","-2.517","0.203","-0.196"
"B4gat1","0.604","-2.515","0.145","-0.181"
"Ppp4c","0.605","-2.513","0.237","-0.212"
"Gzf1","0.605","-2.513","0.115","-0.156"
"Csk","0.606","-2.511","0.538","-0.326"
"Gfm2","0.607","-2.510","0.144","-0.173"
"Lyz1","0.611","2.506","4.322e-02","7.465e-02"
"Unc5cl","0.611","-2.505","6.844e-02","-0.113"
"Neurl4","0.611","-2.505","0.238","-0.238"
"Inpp5a","0.618","-2.499","0.672","-0.350"
"Trpc4ap","0.618","-2.499","0.235","-0.210"
"Adamtsl5","0.620","2.497","0.276","0.269"
"Hsd17b4","0.622","-2.494","0.336","-0.278"
"Pkn3","0.622","-2.494","5.286e-02","-0.104"
"Stard4","0.624","-2.491","0.265","-0.253"
"Tsc22d2","0.624","2.489","0.444","0.350"
"Prr12","0.624","-2.488","0.179","-0.179"
"Fam57a","0.624","-2.487","0.138","-0.195"
"Scaf8","0.624","-2.486","0.238","-0.232"
"Zkscan8","0.624","-2.486","0.125","-0.174"
"Mvk","0.624","-2.485","0.227","-0.218"
"Itpr3","0.624","-2.485","1.232","-0.433"
"Uri1","0.624","-2.485","0.157","-0.188"
"Ncoa6","0.624","-2.484","0.168","-0.198"
"Fasn","0.626","-2.482","0.633","-0.348"
"Scnn1b","0.631","2.478","5.639e-02","9.740e-02"
"Mvd","0.633","-2.476","9.713e-02","-0.153"
"Nudt6","0.633","-2.475","5.744e-02","-0.129"
"Ufl1","0.637","-2.472","0.134","-0.179"
"Pfn1","0.640","-2.470","1.337","-0.444"
"Igkc","0.642","2.467","0.213","0.219"
"Stard7","0.642","-2.467","0.255","-0.229"
"Tcf25","0.642","2.465","1.603","0.421"
"Mgst3","0.647","-2.462","2.000","-0.564"
"Ascc3","0.652","-2.457","0.315","-0.264"
"Ces2b","0.652","2.456","0.279","0.267"
"Fhl2","0.652","2.456","0.932","0.431"
"Ttc6","0.652","-2.455","0.282","-0.263"
"Sorbs1","0.652","2.453","0.282","0.268"
"Il17re","0.652","-2.453","0.276","-0.270"
"Oasl1","0.652","2.450","1.007","0.523"
"Nemp1","0.652","-2.450","0.104","-0.157"
"Pkn2","0.652","-2.446","0.230","-0.233"
"Clec16a","0.652","-2.446","4.713e-02","-9.814e-02"
"Exoc4","0.652","-2.446","0.329","-0.274"
"Smyd2","0.652","-2.445","0.125","-0.172"
"S100a11","0.652","-2.445","0.520","-0.317"
"Camkk2","0.652","-2.444","7.738e-02","-0.160"
"Capg","0.652","2.444","0.516","0.356"
"Kcnf1","0.652","-2.443","0.141","-0.179"
"Zbtb10","0.652","2.442","7.538e-02","0.130"
"Ephx1","0.652","-2.439","0.209","-0.215"
"Trim34a","0.652","-2.439","7.187e-02","-0.126"
"Zfp646","0.652","-2.438","0.199","-0.224"
"Kremen1","0.652","-2.437","0.128","-0.177"
"Zbtb42","0.652","2.436","0.259","0.277"
"Tnpo2","0.652","-2.435","0.352","-0.269"
"Pheta1","0.652","-2.435","0.563","-0.338"
"Exoc8","0.652","-2.435","0.186","-0.198"
"Klf11","0.652","2.435","0.109","0.157"
"Tigd3","0.652","-2.434","6.140e-02","-0.138"
"Tmc8","0.652","2.434","7.183e-02","9.606e-02"
"Lypd6","0.652","-2.434","8.014e-02","-0.125"
"Nepro","0.652","-2.433","5.175e-02","-0.102"
"Sike1","0.652","-2.432","0.249","-0.238"
"Eif4g1","0.652","-2.432","0.289","-0.212"
"Eef1a1","0.652","-2.431","0.833","-0.420"
"Dolk","0.652","-2.430","5.209e-02","-0.124"
"Man1b1","0.652","-2.429","0.309","-0.250"
"Rflna","0.652","-2.428","0.155","-0.194"
"Tgoln1","0.652","-2.428","0.709","-0.331"
"Nbeal2","0.652","-2.428","0.616","-0.366"
"Thsd4","0.660","-2.423","9.276e-02","-0.114"
"Galnt7","0.660","-2.422","0.839","-0.354"
"Igfbp6","0.661","-2.421","6.555e-02","-0.119"
"Zfyve16","0.663","-2.419","4.672e-02","-8.931e-02"
"Zfp266","0.663","-2.418","0.122","-0.166"
"Cnot8","0.664","2.416","0.132","0.165"
"Trmt1","0.664","-2.414","0.179","-0.201"
"Ostc","0.664","-2.414","0.186","-0.178"
"Nip7","0.664","-2.413","0.127","-0.195"
"Disp1","0.664","-2.413","5.575e-02","-0.106"
"Tcf4","0.664","-2.413","0.532","-0.325"
"Cbr3","0.665","-2.411","0.514","-0.327"
"Retsat","0.669","-2.408","0.317","-0.238"
"Sdcbp2","0.671","2.406","1.343","0.466"
"Chpt1","0.672","-2.405","0.706","-0.354"
"H2-Ab1","0.672","-2.403","0.102","-0.165"
"Wrb","0.672","-2.403","7.895e-02","-0.134"
"Vipas39","0.672","-2.402","0.122","-0.150"
"Akap9","0.672","2.400","0.349","0.268"
"Cldn12","0.672","-2.399","0.153","-0.176"
"Tpi1","0.672","2.399","0.303","0.249"
"Cyp1b1","0.672","2.399","7.748e-02","0.120"
"Pld1","0.672","-2.399","0.118","-0.162"
"Selenop","0.674","-2.397","1.011","-0.418"
"Alb","0.678","-2.393","5.584e-02","-0.133"
"Tsc2","0.678","-2.393","0.178","-0.211"
"Serbp1","0.678","-2.393","0.391","-0.264"
"Papolg","0.682","-2.390","0.143","-0.177"
"Gin1","0.684","-2.388","0.113","-0.159"
"Pttg1ip","0.685","-2.386","1.757","-0.417"
"Fgl2","0.685","2.385","0.141","0.181"
"Ankrd22","0.686","2.384","9.828e-02","0.141"
"Apoa1","0.687","-2.383","0.434","-0.338"
