"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Il4ra","3.693e-03","4.111","0.375","0.408"
"Sec63","3.693e-03","4.111","0.270","0.282"
"Eps8l2","3.723e-03","-4.108","1.158","-0.404"
"Nom1","3.802e-03","4.102","0.112","0.239"
"Sf3b3","3.853e-03","4.097","0.213","0.303"
"Vsig1","4.064e-03","-4.083","0.973","-0.454"
"Sec11a","4.076e-03","4.081","0.461","0.346"
"Arpc1a","4.102e-03","-4.079","0.436","-0.287"
"Pnliprp2","4.116e-03","-4.077","0.189","-0.225"
"Ube2e2","4.196e-03","4.071","0.155","0.287"
"Dock1","4.247e-03","4.068","0.870","0.464"
"Arhgef16","4.268e-03","-4.066","0.785","-0.385"
"Slc9a4","4.324e-03","4.061","0.819","0.437"
"Adss","4.407e-03","4.056","0.417","0.359"
"mt-Nd4l","4.451e-03","4.052","1.266","0.594"
"Csrp1","4.451e-03","-4.052","0.949","-0.439"
"Pheta1","4.451e-03","-4.051","0.346","-0.291"
"Rasa2","4.755e-03","4.033","0.301","0.331"
"Romo1","4.790e-03","-4.030","0.102","-0.133"
"Slc38a6","4.790e-03","4.029","7.006e-02","0.169"
"Irf9","4.790e-03","-4.029","0.431","-0.337"
"Chp1","4.920e-03","-4.020","1.003","-0.384"
"Fbln1","4.920e-03","-4.020","0.258","-0.247"
"Dctn3","4.920e-03","-4.020","0.306","-0.232"
"Ston2","4.934e-03","-4.018","0.803","-0.393"
"Trim12a","4.979e-03","-4.015","0.160","-0.203"
"Dynll2","4.979e-03","-4.014","0.579","-0.319"
"H2-D1","5.187e-03","-4.003","1.257","-0.421"
"Trappc9","5.265e-03","3.998","0.181","0.260"
"Ly6g6e","5.416e-03","-3.990","0.476","-0.309"
"Tcf23","5.437e-03","-3.988","0.601","-0.350"
"Gkn3","5.437e-03","3.988","0.596","0.467"
"Fam32a","5.596e-03","-3.979","0.528","-0.316"
"Cib1","5.606e-03","-3.978","0.480","-0.283"
"Zdhhc7","5.661e-03","-3.975","0.349","-0.285"
"Chmp3","5.686e-03","-3.973","0.681","-0.309"
"Tsku","5.696e-03","3.972","0.227","0.310"
"Tbc1d13","5.696e-03","-3.971","0.188","-0.192"
"Tmem54","5.707e-03","-3.970","1.090","-0.392"
"Acsbg1","5.828e-03","3.964","0.303","0.379"
"Kdm2a","5.961e-03","3.957","1.128","0.414"
"Ifi35","6.215e-03","-3.945","0.338","-0.254"
"Dap","6.215e-03","-3.945","0.348","-0.258"
