"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Wsb2","0.513","-2.688","0.395","-0.284"
"Tcf4","0.513","-2.686","0.352","-0.266"
"Pigf","0.513","-2.686","0.388","-0.265"
"Rassf7","0.516","-2.682","0.374","-0.300"
"Dlgap4","0.516","-2.682","0.757","-0.354"
"Slc16a7","0.516","-2.681","1.646","-0.443"
"Tex264","0.519","-2.678","0.943","-0.416"
"B2m","0.519","-2.676","0.301","-0.267"
"Ep300","0.521","-2.673","0.310","-0.238"
"Scamp5","0.521","-2.672","0.298","-0.232"
"Inpp4a","0.521","-2.670","0.252","-0.206"
"Zfp91","0.521","-2.670","0.361","-0.273"
"Zfp706","0.521","-2.670","0.142","-0.174"
"Spsb2","0.523","-2.667","0.193","-0.219"
"Ubald1","0.525","-2.663","0.192","-0.170"
"Tnpo3","0.525","-2.662","0.409","-0.288"
"Emc10","0.525","-2.660","1.010","-0.412"
"Sgpp1","0.525","-2.659","1.799","-0.444"
"Rnf220","0.525","-2.659","0.477","-0.321"
"Sema3b","0.525","-2.658","0.845","-0.425"
"Bmi1","0.525","-2.657","0.227","-0.243"
"Fgfrl1","0.525","-2.656","0.506","-0.318"
"Cyb5a","0.525","-2.656","0.684","-0.366"
"Erlin2","0.527","-2.653","0.523","-0.325"
"Lmf1","0.528","-2.651","0.338","-0.251"
"Alad","0.529","-2.649","0.649","-0.358"
"Sptssb","0.529","-2.648","0.141","-0.184"
"Irs1","0.529","-2.648","0.324","-0.259"
"Meak7","0.529","-2.647","0.125","-0.147"
"Iqcb1","0.529","2.646","1.985e-02","5.870e-02"
"Sdhd","0.530","-2.644","1.404","-0.472"
"Cyp3a13","0.530","-2.643","0.315","-0.267"
"Zdhhc2","0.530","-2.641","0.522","-0.325"
"Klhl9","0.530","-2.638","0.520","-0.316"
"Rnf122","0.530","2.638","1.703e-02","6.200e-02"
"Ei24","0.530","-2.638","0.338","-0.254"
"Pofut1","0.530","-2.635","0.355","-0.308"
"Grem2","0.530","-2.634","0.650","-0.412"
"Ankra2","0.530","2.634","0.198","0.303"
"Washc4","0.530","-2.633","9.047e-02","-0.125"
"Rabac1","0.530","-2.633","1.521","-0.471"
"Med23","0.530","2.632","0.170","0.214"
"Armc7","0.530","2.630","6.100e-02","0.186"
"Cdc42bpg","0.530","-2.630","1.195","-0.400"
"Tstd2","0.530","-2.629","0.100","-0.126"
"Clcn3","0.530","-2.629","0.609","-0.326"
"Crim1","0.532","-2.626","0.383","-0.250"
"Fam160b2","0.532","-2.625","0.306","-0.264"
"Lrfn4","0.532","-2.622","0.628","-0.348"
"Aldh3a2","0.532","2.622","0.229","0.253"
"Mef2d","0.532","-2.620","0.406","-0.288"
"Zbtb41","0.532","2.617","8.276e-02","0.126"
"Dnajc28","0.532","-2.617","0.157","-0.172"
"Slc45a4","0.532","-2.616","0.422","-0.280"
"Ctse","0.532","-2.616","2.868","-0.595"
"Rnf130","0.532","-2.614","0.630","-0.305"
"Ppp1r26","0.532","2.613","6.700e-02","0.163"
"Prdm2","0.532","-2.612","0.234","-0.214"
"Zswim6","0.532","-2.612","0.126","-0.162"
"Ecpas","0.532","-2.611","0.389","-0.263"
"Ndufb1-ps","0.532","-2.611","0.935","-0.431"
"Klf4","0.532","-2.610","0.647","-0.409"
"Crnkl1","0.532","-2.610","0.244","-0.217"
"Acss1","0.532","-2.609","0.954","-0.396"
"Mxd1","0.532","-2.606","0.533","-0.390"
"Rnf185","0.532","-2.605","0.156","-0.162"
"Manea","0.532","2.603","0.157","0.237"
"Asap3","0.532","-2.603","0.318","-0.247"
"Usb1","0.532","-2.602","0.187","-0.190"
"Mcl1","0.532","-2.599","0.897","-0.374"
"Ric1","0.532","2.597","0.257","0.290"
"Mpc2","0.532","-2.597","1.517","-0.501"
"Tspan8","0.532","-2.597","1.869","-0.479"
"Rad23a","0.532","-2.596","0.354","-0.236"
"Cldn7","0.532","2.596","6.532e-02","0.109"
"Sirt2","0.532","-2.595","0.656","-0.331"
"Extl3","0.532","-2.594","0.529","-0.324"
"Rcan3","0.532","-2.594","0.330","-0.277"
"Fbxl19","0.532","-2.593","0.538","-0.321"
"Hspa8","0.532","-2.593","1.454","-0.502"
"Nus1","0.532","-2.593","0.724","-0.368"
"Igflr1","0.532","-2.592","0.117","-0.161"
"Arid3a","0.532","-2.591","0.175","-0.207"
"Ano6","0.532","-2.591","0.473","-0.301"
"Serp1","0.532","-2.590","0.143","-0.166"
"Slc30a4","0.534","-2.588","0.326","-0.231"
"Ube2f","0.535","-2.586","0.409","-0.256"
"Nsfl1c","0.535","-2.584","0.391","-0.259"
"Clk1","0.537","-2.581","0.850","-0.370"
"Eif3e","0.537","-2.581","0.195","-0.211"
"Nucb1","0.539","-2.579","1.037","-0.415"
"Ehd1","0.539","-2.578","0.631","-0.309"
"Scarb2","0.540","-2.576","0.498","-0.302"
"Rdh14","0.542","-2.574","0.179","-0.212"
"Micall2","0.542","-2.573","0.331","-0.253"
"Arl8b","0.542","-2.572","0.432","-0.280"
"Dpf2","0.542","-2.571","0.381","-0.287"
"Ticam1","0.542","-2.570","0.143","-0.178"
"Rab11fip3","0.542","2.569","0.385","0.323"
"Raly","0.542","-2.569","0.326","-0.236"
"Ppp2cb","0.542","-2.567","0.841","-0.392"
"Hrh2","0.542","-2.565","0.848","-0.427"
"Rack1","0.542","-2.565","0.732","-0.333"
"Odc1","0.542","-2.564","0.699","-0.392"
"Pcsk7","0.542","-2.563","0.286","-0.213"
"Cecr2","0.542","2.561","1.695e-02","6.169e-02"
"Ankle2","0.542","-2.560","0.204","-0.226"
"Cep120","0.542","-2.560","0.135","-0.163"
"Med14","0.542","2.559","0.118","0.159"
"Atp2b1","0.542","-2.559","0.348","-0.267"
"Zfp410","0.542","-2.559","0.298","-0.234"
"Zfp266","0.542","-2.558","0.253","-0.224"
"Psd3","0.542","-2.558","0.553","-0.283"
"Alg9","0.544","-2.555","0.165","-0.160"
"Zfp688","0.545","-2.554","0.145","-0.164"
"Fbxl14","0.548","-2.551","0.369","-0.253"
"Phb2","0.559","-2.542","0.610","-0.344"
"Cops7a","0.560","-2.541","0.617","-0.351"
"Rabgef1","0.560","-2.539","0.270","-0.210"
"Api5","0.560","-2.538","0.240","-0.197"
"Dmbt1","0.560","2.537","4.728e-02","9.680e-02"
"Urb2","0.560","-2.537","0.147","-0.161"
"Rasgrp3","0.560","-2.535","0.374","-0.290"
"Letmd1","0.560","-2.535","0.127","-0.152"
"Atp9b","0.560","2.535","0.410","0.307"
"Plod3","0.560","-2.532","0.376","-0.248"
"Noct","0.560","-2.531","0.306","-0.246"
"Srek1ip1","0.560","-2.531","0.217","-0.197"
"Polr2a","0.560","-2.531","0.315","-0.228"
"Mboat7","0.560","-2.531","0.501","-0.281"
"Enpp4","0.561","-2.529","0.542","-0.301"
"Nacc1","0.561","-2.528","0.330","-0.247"
"Ncl","0.561","-2.528","0.455","-0.273"
"Fuca2","0.561","-2.526","0.284","-0.222"
"Raph1","0.561","-2.526","0.189","-0.196"
"Irgm1","0.569","-2.520","0.129","-0.177"
"Oasl1","0.570","-2.518","0.227","-0.256"
"Gpr108","0.572","-2.516","0.407","-0.267"
"Spin1","0.576","-2.512","0.207","-0.177"
"Runx2","0.577","2.511","8.581e-02","0.200"
"Osbpl2","0.577","-2.509","0.421","-0.243"
"Rnh1","0.577","-2.508","0.616","-0.352"
"Golga5","0.577","-2.508","0.287","-0.249"
"Sik1","0.577","-2.507","1.325","-0.455"
"Pias2","0.577","-2.507","0.558","-0.293"
"Slc19a2","0.577","-2.506","0.290","-0.228"
"Ifih1","0.577","-2.506","0.126","-0.174"
"Cbx7","0.581","2.502","0.188","0.245"
"Anxa5","0.581","-2.499","0.782","-0.397"
"Gpcpd1","0.581","-2.499","0.204","-0.222"
"Ypel2","0.581","-2.498","0.370","-0.277"
"Irak1","0.581","2.497","0.504","0.327"
"Cttnbp2nl","0.581","-2.497","0.336","-0.259"
"Ehhadh","0.581","-2.496","0.125","-0.150"
"Ddhd2","0.581","2.495","0.258","0.236"
