"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Rabac1","0.755","-2.490","0.633","-0.274"
"Gpx1","0.755","-2.489","1.549","-0.396"
"Egln1","0.758","-2.486","0.397","-0.234"
"Fam171a1","0.758","2.486","0.213","0.184"
"Trir","0.758","-2.484","1.246","-0.319"
"Cyp2s1","0.758","2.482","0.657","0.304"
"Snx29","0.758","2.481","0.413","0.250"
"Zfp317","0.758","2.479","0.226","0.194"
"Lama3","0.758","-2.479","0.959","-0.431"
"Lrrfip1","0.758","-2.478","1.375","-0.323"
"Ralgds","0.758","-2.478","0.820","-0.306"
"Tle4","0.758","-2.477","3.740e-02","-6.211e-02"
"Nagpa","0.760","2.476","0.156","0.136"
"Rsf1","0.763","2.472","0.296","0.207"
"Cym","0.763","2.472","0.114","0.202"
"Sub1","0.767","-2.467","0.150","-0.143"
"Dcaf15","0.767","2.466","0.661","0.267"
"Maml1","0.767","-2.465","0.234","-0.187"
"Ntpcr","0.767","2.465","0.123","0.136"
"Taf7","0.767","-2.464","0.113","-0.126"
"Kif1b","0.767","2.459","0.572","0.249"
"Tshz1","0.767","-2.459","0.113","-0.119"
"Fancc","0.767","2.458","0.152","0.149"
"Kmt5b","0.767","2.456","0.798","0.281"
"Cux1","0.767","2.455","1.104","0.340"
"Fam107b","0.767","-2.454","1.600","-0.383"
"Zfp652","0.767","2.452","0.443","0.247"
"Ier3ip1","0.767","-2.451","0.337","-0.217"
"Ptrh1","0.767","-2.451","0.922","-0.372"
"Plpp5","0.767","2.449","0.495","0.234"
"Ltbr","0.767","-2.449","0.528","-0.249"
"Zfp397","0.767","2.448","0.571","0.275"
"Sh2d5","0.767","-2.448","9.449e-02","-9.959e-02"
"Tufm","0.767","-2.447","0.345","-0.212"
"Taf11","0.767","-2.447","0.394","-0.204"
"Tmem53","0.767","-2.446","2.567e-02","-5.892e-02"
"Zscan21","0.767","2.445","0.234","0.178"
"Lgals8","0.767","2.445","0.357","0.232"
"Nid1","0.767","-2.445","0.110","-0.126"
"Arf1","0.767","-2.444","0.797","-0.273"
"Lrrc8c","0.767","-2.443","4.796e-02","-8.149e-02"
"Zcrb1","0.767","2.442","0.433","0.215"
"Rmnd1","0.767","2.440","0.158","0.156"
"Ndufs4","0.767","2.440","0.522","0.236"
"Ago1","0.767","2.439","0.341","0.221"
"Cdkal1","0.767","2.438","0.372","0.240"
"Plekhg5","0.767","2.436","0.283","0.210"
"Aldh7a1","0.767","-2.435","0.268","-0.176"
"Uqcr11","0.767","-2.435","0.818","-0.289"
"Dnmt3a","0.767","2.435","0.268","0.178"
"Kcne3","0.767","2.434","0.659","0.399"
"Dok7","0.767","-2.433","0.160","-0.157"
"Tmco6","0.767","2.432","0.334","0.204"
"Tent5a","0.767","2.430","0.288","0.215"
"Vps11","0.767","2.429","0.331","0.195"
"Ykt6","0.767","-2.428","0.666","-0.260"
"Naxd","0.767","2.427","0.495","0.253"
"Stk11ip","0.767","2.426","0.293","0.198"
"Mia2","0.767","-2.426","0.570","-0.252"
"Tiparp","0.767","-2.425","0.184","-0.148"
"Cyb561a3","0.767","-2.425","0.196","-0.152"
"Vtcn1","0.767","2.424","0.590","0.329"
"Ccdc114","0.767","2.424","0.382","0.250"
"Cops6","0.767","-2.423","0.735","-0.251"
"Por","0.767","-2.423","0.659","-0.246"
"Foxo6","0.767","-2.422","3.990e-02","-7.759e-02"
"Ptms","0.767","-2.421","2.716","-0.418"
"Nfx1","0.768","2.419","0.583","0.257"
"Srrt","0.779","2.411","1.187","0.306"
"H2-K1","0.779","-2.410","1.465","-0.391"
"Ccnk","0.779","-2.409","0.309","-0.198"
"Slc10a3","0.779","-2.408","3.954e-02","-7.092e-02"
"Cnbd2","0.779","2.408","3.728e-02","6.606e-02"
"Cd36","0.779","2.406","3.304e-02","5.084e-02"
"Tlnrd1","0.779","-2.405","1.270","-0.333"
"Eif2b1","0.779","2.405","0.247","0.171"
"Ly6m","0.779","-2.403","0.278","-0.255"
"Chaf1a","0.779","2.403","0.271","0.192"
"Sidt2","0.779","2.402","0.504","0.236"
"Abcb6","0.779","-2.402","0.171","-0.151"
"Skp1a","0.779","-2.401","0.510","-0.240"
"Ints3","0.779","-2.400","0.395","-0.218"
"Phb2","0.779","-2.399","0.632","-0.267"
"Tmed7","0.779","-2.399","0.486","-0.238"
"Swi5","0.779","-2.399","0.661","-0.253"
"Wdr70","0.781","2.397","0.267","0.189"
"Thap11","0.784","-2.393","0.244","-0.190"
"Procr","0.784","-2.392","0.213","-0.216"
"Zc3hav1","0.784","-2.389","0.577","-0.259"
"Tff3","0.784","2.388","0.114","0.120"
"Arl14","0.784","2.387","0.840","0.342"
"Notch1","0.784","-2.387","0.386","-0.238"
"Saraf","0.784","-2.385","0.569","-0.262"
"Snx3","0.784","-2.385","0.651","-0.259"
"Cstb","0.784","-2.383","0.879","-0.310"
"Ano8","0.784","2.383","0.392","0.254"
"Tspan5","0.784","-2.382","0.263","-0.190"
"Atf4","0.784","-2.382","0.383","-0.234"
"Extl2","0.784","-2.382","5.932e-02","-0.111"
"Emc10","0.784","-2.381","1.005","-0.293"
"Zfp692","0.784","2.381","0.424","0.269"
"Gpaa1","0.784","-2.381","0.313","-0.200"
"Elp5","0.784","-2.380","0.485","-0.233"
"Zfp825","0.784","2.380","0.102","0.119"
"Rabl3","0.784","2.379","0.196","0.181"
"Fam193b","0.787","2.377","0.732","0.303"
"Wdr4","0.787","2.376","0.247","0.191"
"Spryd7","0.791","-2.373","0.158","-0.139"
"Hdac7","0.791","2.372","0.632","0.297"
"Mprip","0.791","2.371","2.028","0.314"
"Gabarap","0.791","-2.371","0.197","-0.156"
"Crip2","0.793","-2.369","0.681","-0.340"
"Tbcb","0.793","-2.369","0.316","-0.176"
"Plcl2","0.799","-2.364","5.275e-02","-9.097e-02"
"Tent4b","0.799","-2.364","0.159","-0.147"
"Tspan8","0.799","2.363","2.386","0.357"
"Sass6","0.799","2.362","0.150","0.152"
"Rabgap1l","0.801","2.359","0.956","0.305"
"Zfp110","0.801","-2.359","0.137","-0.137"
"Barx2","0.801","-2.359","0.117","-0.147"
"Rnasek","0.802","-2.356","0.399","-0.205"
"Atox1","0.802","-2.356","0.802","-0.283"
"Ccdc141","0.802","2.355","1.206","0.411"
"Trim58","0.802","2.354","8.391e-02","0.141"
"Cyb5r1","0.802","2.353","0.659","0.284"
"Shank2","0.802","2.353","0.124","0.154"
"Eif2b2","0.804","2.352","0.272","0.177"
"Lekr1","0.805","2.350","5.793e-02","6.920e-02"
"Pdk4","0.805","-2.349","3.619e-02","-8.308e-02"
"Ndufv1","0.807","-2.347","0.667","-0.253"
"Yipf5","0.807","-2.345","0.184","-0.159"
"BC030500","0.807","-2.345","4.226e-02","-9.701e-02"
"Ly6g6c","0.807","-2.344","8.143e-02","-0.106"
"Tsen34","0.807","-2.344","0.747","-0.273"
"Esco1","0.807","-2.343","0.206","-0.156"
"Pcdhgb2","0.807","2.343","4.039e-02","6.386e-02"
"Tusc3","0.807","-2.341","0.547","-0.246"
"S100a13","0.807","-2.340","0.469","-0.246"
"Ccnl1","0.807","2.338","1.174","0.281"
"Dbndd2","0.807","-2.337","0.580","-0.278"
"Tph1","0.807","2.337","0.157","0.208"
"Fes","0.807","2.337","0.402","0.253"
"Ubl5","0.807","-2.337","0.154","-0.157"
"Kit","0.807","2.337","0.262","0.232"
"Ubn2","0.814","2.333","0.564","0.259"
"Krt88","0.814","-2.332","2.269e-02","-5.208e-02"
"Tppp3","0.815","-2.329","0.342","-0.280"
"Trmt112","0.815","-2.328","0.539","-0.256"
"Slc44a2","0.815","2.328","0.942","0.302"
"Pgm2","0.815","-2.328","0.874","-0.291"
"Krt14","0.815","-2.327","0.227","-0.297"
"Pdx1","0.819","-2.324","0.605","-0.299"
"Ankrd13a","0.819","-2.323","0.541","-0.232"
"Eif5a","0.819","-2.323","0.597","-0.245"
"Piezo1","0.820","-2.321","0.752","-0.281"
"Rnf10","0.820","-2.321","1.295","-0.263"
"Sh3pxd2a","0.820","-2.320","0.655","-0.285"
"Slc7a5","0.820","-2.319","0.422","-0.261"
"Atat1","0.822","2.318","0.391","0.226"
"Epn3","0.822","-2.317","1.302","-0.308"
"Atp6ap2","0.823","-2.315","0.685","-0.255"
"Ndufaf3","0.823","-2.315","0.166","-0.147"
"Rhbdf2","0.826","-2.312","0.547","-0.239"
"Spc24","0.826","-2.311","0.288","-0.220"
"Cyb5rl","0.826","2.311","0.209","0.169"
"Blvrb","0.826","-2.309","0.307","-0.230"
"Rasl11b","0.826","-2.309","2.947e-02","-5.501e-02"
"Ldah","0.826","2.309","0.141","0.147"
"Adam28","0.826","2.308","0.928","0.325"
"Zfp57","0.827","2.307","0.165","0.169"
"Tbcd","0.831","2.304","0.241","0.163"
"Arap2","0.831","2.304","0.412","0.222"
"Reg3g","0.831","2.302","0.194","0.185"
"Sphk2","0.831","-2.302","0.621","-0.236"
"Mto1","0.831","2.301","0.251","0.185"
"Cnksr2","0.831","2.300","0.128","0.134"
"Hnrnph3","0.832","2.299","0.579","0.264"
"Map3k5","0.834","2.298","0.589","0.281"
"Lor","0.835","-2.297","9.540e-02","-0.128"
"Serp1","0.835","-2.296","9.926e-02","-0.108"
