"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Pkp4","0.981","-2.363","0.257","-0.263"
"Lss","0.981","-2.362","0.276","-0.280"
"Dynlrb1","0.981","-2.360","0.261","-0.250"
"Samd9l","0.981","-2.359","8.715e-02","-0.158"
"Sdf4","0.981","-2.359","0.759","-0.422"
"Tnfrsf1a","0.981","-2.358","0.290","-0.275"
"Cd164","0.981","-2.357","0.621","-0.373"
"Map11","0.981","-2.357","0.554","-0.363"
"Fbxl19","0.981","-2.356","0.414","-0.327"
"Ube2v2","0.981","-2.356","8.902e-02","-0.161"
"Hsbp1","0.981","-2.354","0.304","-0.258"
"Rbm14","0.981","-2.353","1.246","-0.438"
"Lmln","0.981","2.352","0.199","0.253"
"Gjb1","0.981","-2.350","0.681","-0.375"
"Rbm42","0.981","-2.348","0.308","-0.285"
"Cfi","0.981","-2.348","0.760","-0.435"
"Agl","0.981","2.347","8.003e-02","0.153"
"Smarcb1","0.981","-2.347","0.149","-0.201"
"Hyou1","0.981","-2.347","0.714","-0.368"
"Emc8","0.981","-2.346","0.140","-0.185"
"Adar","0.981","-2.345","0.445","-0.333"
"Ppm1g","0.981","-2.344","0.207","-0.244"
"Sdhc","0.981","-2.342","0.498","-0.324"
"Zscan2","0.981","-2.341","9.089e-02","-0.165"
"Hp1bp3","0.981","-2.340","0.823","-0.417"
"Eif3i","0.981","-2.340","9.176e-02","-0.166"
"Nrf1","0.981","2.340","0.126","0.180"
"Lrrc8b","0.981","-2.338","0.123","-0.171"
"Ddx39b","0.981","-2.336","0.647","-0.380"
"Kmt2c","0.981","-2.336","0.253","-0.242"
"Strada","0.981","-2.336","0.152","-0.194"
"Atp5d","0.981","-2.335","0.681","-0.385"
"Dnttip2","0.981","-2.335","8.663e-02","-0.141"
"Ddx58","0.981","-2.334","9.154e-02","-0.166"
"Adnp","0.981","-2.333","0.445","-0.307"
"Eid1","0.981","-2.332","0.615","-0.391"
"Anxa2","0.981","-2.329","0.522","-0.385"
"Cad","0.981","-2.328","0.152","-0.190"
"Cacna2d1","0.981","-2.328","0.827","-0.545"
"Vat1","0.981","-2.325","0.133","-0.153"
"Foxq1","0.981","-2.325","0.860","-0.427"
"Plekhg5","0.981","-2.324","0.146","-0.195"
"Npc1","0.981","-2.324","0.566","-0.346"
"Unc13b","0.981","-2.324","0.253","-0.257"
"Nacc1","0.981","-2.323","0.198","-0.225"
"Inafm2","0.981","-2.323","0.201","-0.203"
"Chtop","0.981","-2.323","0.446","-0.312"
"Fdft1","0.982","-2.320","0.397","-0.322"
"Gtf3c4","0.982","-2.319","0.111","-0.162"
"Clu","0.982","-2.318","2.962","-0.679"
"Sema4g","0.982","-2.318","0.500","-0.381"
"Zfp579","0.982","-2.318","0.380","-0.312"
"Psenen","0.984","-2.316","0.202","-0.197"
"Foxa1","0.984","-2.315","0.897","-0.420"
"Tubgcp6","0.986","-2.313","0.247","-0.265"
"Ppwd1","0.986","-2.312","0.149","-0.180"
"Thap2","0.987","-2.311","0.245","-0.235"
"Rptor","0.988","2.310","0.452","0.338"
"Fkbp8","0.991","-2.308","0.612","-0.360"
"Rad52","0.991","-2.307","6.626e-02","-0.120"
"Pawr","0.992","2.303","0.208","0.239"
"Mettl8","0.992","-2.303","6.637e-02","-0.120"
"Abcb10","0.992","-2.301","7.618e-02","-0.122"
"Fbxo11","0.992","-2.301","0.257","-0.262"
"Zfp991","0.992","2.301","7.873e-02","0.159"
"Phykpl","0.992","2.300","0.165","0.217"
"Rras2","0.992","-2.300","0.134","-0.161"
"Efhd2","1","-2.294","0.295","-0.275"
"Triap1","1","-2.292","0.141","-0.178"
"Ppp1r14a","1","2.290","6.930e-02","0.154"
"Hdhd2","1","-2.290","0.155","-0.189"
"Dync2li1","1","-2.288","0.104","-0.147"
"Ndufb11","1","-2.286","0.223","-0.211"
"Smagp","1","-2.284","0.106","-0.145"
"Tep1","1","-2.282","0.290","-0.268"
