"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Plin2",-0.393347426983128,0.60702950155523,-3.07650600533368,0.0027059904685841,0.428895874068888,-4.34970170675327
"Cct6a",-0.258184111148539,0.368424243937373,-3.07562258061726,0.00271331214099641,0.428895874068888,-4.35220739322006
"Fam83f",-0.152798474297433,0.149059508572715,-3.07359988206827,0.00273014516843183,0.428895874068888,-4.35794220034043
"Tmem79",-0.256728383516848,0.332461766323908,-3.06836736617604,0.0027741408578843,0.428895874068888,-4.37276309697176
"Arid2",0.34898466267835,0.715086809042655,3.06703426730689,0.00278545432759623,0.428895874068888,-4.37653571009174
"Mapk8ip3",0.323274257212631,0.627219138482667,3.06471808928392,0.00280521256921832,0.428895874068888,-4.38308717087718
"Uty",0.267370545994958,0.317567740439477,3.06470800396474,0.00280529888578929,0.428895874068888,-4.38311568890878
"Anxa8",-0.433371704312502,0.742423434953856,-3.06306615774457,0.00281938372093446,0.428895874068888,-4.3877572655889
"Slc35c1",-0.376735356362128,0.895847062152143,-3.0612023605166,0.00283545202438113,0.428895874068888,-4.39302381394029
"Camk2d",0.36894190203121,1.23543637149078,3.04126538628014,0.00301272456905543,0.452122185524625,-4.44919373943863
"Sirt7",0.359303879655885,0.989898703341288,3.03375402798579,0.00308213436773509,0.454646228519682,-4.47027709249497
"Upf3a",0.235353450586415,0.291033180931942,3.03306823300531,0.00308854474750381,0.454646228519682,-4.47219986851037
"Ppm1g",-0.345453523502722,0.564277996615283,-3.03172804713496,0.00310110759785711,0.454646228519682,-4.47595633014861
"Rnf11",-0.322479857040787,0.530533854210807,-3.02288422946028,0.00318520219283034,0.46341044727598,-4.50071043538181
"Rnf43",0.284771298055515,0.428488018682135,3.01529206715081,0.00325907278607522,0.469334618141875,-4.52191314289122
"Mthfsd",0.380821636546781,0.63958080560038,3.01365858329697,0.00327517205587226,0.469334618141875,-4.52646918919326
"Smarcad1",0.419950093885767,0.873838307143295,2.99880029797082,0.00342502541391903,0.48612949702626,-4.5678168607747
"Rnf103",-0.322366437058798,0.93154486816376,-2.99571483152706,0.00345692782895888,0.48612949702626,-4.57638173916221
"Anks3",0.294481120557272,0.43149558985066,2.99404590862896,0.00347429797977254,0.48612949702626,-4.58101139999893
"Csf2",0.315044224792341,0.201884566385026,2.99014433084624,0.00351522065512239,0.48612949702626,-4.59182613649776
"Pitpnm3",0.316980459610274,0.410628421268777,2.98970039777961,0.0035199050626803,0.48612949702626,-4.5930559232814
"Cldn23",-0.363278193405468,0.631700289467453,-2.98473494917759,0.0035726951150667,0.489870476245009,-4.60680085526996
"Brd8",0.368518623242686,0.898012261085669,2.97908776039315,0.00363362108168982,0.494665601399473,-4.62240972056076
"Luc7l2",0.397234734747393,1.18850448270772,2.97421357670139,0.00368697698089002,0.49467711287176,-4.63586212319351
"Lrrc45",0.287615369877081,0.391659422221406,2.96711751529586,0.00376594848965047,0.49467711287176,-4.65541380326709
"Bok",-0.40345111029441,1.70514452844498,-2.96680408085692,0.00376947240320333,0.49467711287176,-4.65627650336944
"Tcf19",0.243655153886873,0.180505476989215,2.96563219410699,0.0037826747809789,0.49467711287176,-4.65950134024876
"S100a10",-0.514807541868662,1.55990716918564,-2.96461266950902,0.00379419534424294,0.49467711287176,-4.66230603408779
"Ppp1r15a",-0.29540657961784,0.392296690638508,-2.96291185168545,0.00381348653686636,0.49467711287176,-4.66698315578212
"Klhl2",0.226056822819524,0.268250321667012,2.96151324000097,0.0038294177576533,0.49467711287176,-4.67082754866169
"Sertad2",-0.2059092325032,0.225632706263038,-2.96046956440774,0.0038413459628008,0.49467711287176,-4.67369533059079
"Tefm",0.148249739587261,0.1036969718376,2.95035289247089,0.00395875855784216,0.496267997733344,-4.7014497140443
"Card10",0.369689234569394,0.947225735732764,2.94896243745421,0.00397515209016937,0.496267997733344,-4.70525810203829
"Supt20",0.346003528398077,1.07247136439421,2.94877219600613,0.00397739990593889,0.496267997733344,-4.70577904688293
"Msh3",0.286004148794803,0.343117457949094,2.94771696143751,0.00398988941524184,0.496267997733344,-4.70866812076921
"Csf2ra",0.323831962887257,0.467155370768101,2.94430713726184,0.00403049482024551,0.496267997733344,-4.71799777449711
"Nsd1",0.394502819002333,1.08390708278284,2.9402021137865,0.00407988396047449,0.496267997733344,-4.72921754236746
"Rdh13",0.258471134641789,0.368946130864485,2.93837051495161,0.0041021000250705,0.496267997733344,-4.73421938982156
