"cluster","ncells","Colour","ord","shortName","realname"
"143","Ciliated epithelial cells_4",1,"#de8e06",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"144","Ciliated epithelial cells_19",3.42414970114281,"#1f78b4",2,"Ciliated epithelial cells","Ciliated epithelial cells"
"145","ENS neurons_6",1,"#b5aa0f",2,"ENS neurons","ENS neurons"
"146","ENS neurons_10",1,"#ffff99",2,"ENS neurons","ENS neurons"
"147","ENS neurons_11",1,"#6a3d9a",2,"ENS neurons","ENS neurons"
"148","ENS neurons_18",1,"#b2df8a",2,"ENS neurons","ENS neurons"
"149","ENS neurons_7",1,"#e4b680",2,"ENS neurons","ENS neurons"
"150","ENS neurons_14",1,"#fdbf6f",2,"ENS neurons","ENS neurons"
"151","ENS neurons_8",1,"#7ba39d",2,"ENS neurons","ENS neurons"
"152","ENS neurons_0",1,"#5f75ae",2,"ENS neurons","ENS neurons"
"153","ENS neurons_4",1,"#de8e06",2,"ENS neurons","ENS neurons"
"154","ENS neurons_20",2910.01880760466,"#a6cee3",2,"ENS neurons","ENS neurons"
"155","ENS neurons_19",38.2037682665662,"#1f78b4",2,"ENS neurons","ENS neurons"
"156","ENS neurons_3",1,"#e5486e",2,"ENS neurons","ENS neurons"
"157","ENS neurons_15",1146.01809483739,"#e31a1c",2,"ENS neurons","ENS neurons"
"158","ENS neurons_9",1,"#b15928",2,"ENS neurons","ENS neurons"
"159","ENS neurons_16",1,"#fb9a99",2,"ENS neurons","ENS neurons"
"160","ENS neurons_13",1,"#ff7f00",2,"ENS neurons","ENS neurons"
"161","ENS neurons_5",1,"#eccf5a",2,"ENS neurons","ENS neurons"
"162","ENS neurons_2",1,"#64a841",2,"ENS neurons","ENS neurons"
"163","ENS neurons_12",1,"#cab2d6",2,"ENS neurons","ENS neurons"
"164","Parietal and chief cells_7",1,"#e4b680",2,"Parietal and chief cells","Parietal and chief cells"
"165","Parietal and chief cells_10",3977.05798902492,"#ffff99",2,"Parietal and chief cells","Parietal and chief cells"
"166","Parietal and chief cells_1",4940.79285239552,"#92bbb8",2,"Parietal and chief cells","Parietal and chief cells"
"167","Parietal and chief cells_21",894.924114208117,NA,2,"Parietal and chief cells","Parietal and chief cells"
"168","Parietal and chief cells_13",4458.72781938588,"#ff7f00",2,"Parietal and chief cells","Parietal and chief cells"
"169","Goblet cells_16",1188.12883645414,"#fb9a99",2,"Goblet cells","Goblet cells"
"170","Goblet cells_7",2023.61536969259,"#e4b680",2,"Goblet cells","Goblet cells"
"171","Goblet cells_2",3490.92942427404,"#64a841",2,"Goblet cells","Goblet cells"
"172","Goblet cells_6",2307.37597679255,"#b5aa0f",2,"Goblet cells","Goblet cells"
"173","Goblet cells_9",638.010417273479,"#b15928",2,"Goblet cells","Goblet cells"
"174","Goblet cells_12",364.971398910135,"#cab2d6",2,"Goblet cells","Goblet cells"
"175","Goblet cells_17",355.164932679179,"#33a02c",2,"Goblet cells","Goblet cells"
"176","Goblet cells_1",1994.45203605961,"#92bbb8",2,"Goblet cells","Goblet cells"
"177","Goblet cells_8",457.913283165276,"#7ba39d",2,"Goblet cells","Goblet cells"
"178","Squamous epithelial cells_1",1135.45528263468,"#92bbb8",2,"Squamous epithelial cells","Squamous epithelial cells"
"179","Squamous epithelial cells_12",1,"#cab2d6",2,"Squamous epithelial cells","Squamous epithelial cells"
"180","Squamous epithelial cells_13",1,"#ff7f00",2,"Squamous epithelial cells","Squamous epithelial cells"
"181","Squamous epithelial cells_16",1000.05350967819,"#fb9a99",2,"Squamous epithelial cells","Squamous epithelial cells"
"182","Squamous epithelial cells_15",1413.61356163491,"#e31a1c",2,"Squamous epithelial cells","Squamous epithelial cells"
"183","Squamous epithelial cells_6",1187.63434272319,"#b5aa0f",2,"Squamous epithelial cells","Squamous epithelial cells"
"184","Squamous epithelial cells_8",1,"#7ba39d",2,"Squamous epithelial cells","Squamous epithelial cells"
"185","Squamous epithelial cells_11",1,"#6a3d9a",2,"Squamous epithelial cells","Squamous epithelial cells"
"186","Squamous epithelial cells_9",460.464698901184,"#b15928",2,"Squamous epithelial cells","Squamous epithelial cells"
"187","Squamous epithelial cells_7",1252.55778468866,"#e4b680",2,"Squamous epithelial cells","Squamous epithelial cells"
"188","Squamous epithelial cells_17",1,"#33a02c",2,"Squamous epithelial cells","Squamous epithelial cells"
"189","Neuroendocrine cells_20",580.817609453977,"#a6cee3",2,"Neuroendocrine cells","Neuroendocrine cells"
"190","Neuroendocrine cells_1",953.588845635526,"#92bbb8",2,"Neuroendocrine cells","Neuroendocrine cells"
"191","Neuroendocrine cells_5",1,"#eccf5a",2,"Neuroendocrine cells","Neuroendocrine cells"
"192","Neuroendocrine cells_17",181.875413813401,"#33a02c",2,"Neuroendocrine cells","Neuroendocrine cells"
"193","Neuroendocrine cells_3",1,"#e5486e",2,"Neuroendocrine cells","Neuroendocrine cells"
