"","x"
"875","Nudc"
"876","Plag1"
"877","Timm13"
"878","Chmp4c"
"879","Creb3l3"
"880","Rdh7"
"881","Sdr9c7"
"882","Tns2"
"883","Psme3"
"884","Ipmk"
"885","Rnf11"
"886","Acss1"
"887","Bicdl1"
"888","Dgat2"
"889","Coq8b"
"890","Fitm2"
"891","Tmco1"
"892","Itgb1"
"893","Tigar"
"894","Abhd2"
"895","Herc6"
"896","Ap2s1"
"897","Atp6v1e1"
"898","Mocs2"
"899","Arf6"
"900","Fabp3"
"901","Htra1"
"902","Serbp1"
"903","Slc25a46"
"904","Smap1"
"905","Cox7b"
"906","Fibin"
"907","Ostf1"
"908","Tmem94"
"909","Hibadh"
"910","Snai1"
"911","Leprotl1"
"912","Jcad"
"913","Cdc42bpg"
"914","Kcnk3"
"915","Ninj1"
"916","Tmsb10"
"917","Nfil3"
"918","Pld6"
"919","Pcbp1"
"920","Gas6"
"921","Rtn3"
"922","Tusc3"
"923","Sstr2"
"924","Atf4"
"925","Pcmt1"
"926","Tpst2"
"927","Etfdh"
"928","Eloc"
"929","Ddost"
"930","S100a16"
"931","Kcnf1"
"932","Hspd1"
"933","Cercam"
"934","Elf1"
"935","Pigt"
"936","Chmp5"
"937","Nagk"
"938","Pink1"
"939","Sult1b1"
"940","B4galt1"
"941","Ndufc2"
"942","Atg9a"
