"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Nop58","1.000","0.555","4.024","1.079"
"Bmpr2","1.000","-0.366","4.757","-0.653"
"Fam117b","1.000","0.161","2.347","0.375"
"Wdr12","1.000","0.409","0.423","1.967"
"Nbeal1","1.000","-1.994e-02","5.034","-3.467e-02"
"Cyp20a1","1.000","-3.470e-02","1.985","-8.671e-02"
"Abi2","1.000","0.405","0.141","1.958"
"Raph1","1.000","0.182","22.433","0.190"
"Cd28","1.000","0.240","2.825e-02","1.166"
"Ctla4","1.000","0.240","2.825e-02","1.166"
"Pard3b","1.000","-0.145","1.303","-0.418"
"Nrp2","1.000","0.302","0.339","1.454"
"Ino80d","1.000","8.303e-02","8.998","0.111"
"Ndufs1","1.000","1.294e-02","4.587","2.325e-02"
"Eef1b2","1.000","-0.259","9.523","-0.368"
"Adam23","1.000","0.240","2.825e-02","1.166"
"Fastkd2","1.000","0.261","0.198","1.259"
"Klf7","1.000","-1.373e-02","5.114","-2.440e-02"
