"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Pprc1",NA,"0.764","4.582","0.890"
"Nolc1",NA,"0.536","0.686","2.360"
"Gbf1",NA,"1.716","8.029","1.693"
"Nfkb2",NA,"0.171","5.312","0.191"
"Psd",NA,"-0.197","1.564","-0.498"
"Fbxl15",NA,"-0.445","1.090","-1.391"
"Cuedc2",NA,"0.312","2.413","0.513"
"Mfsd13a",NA,"0.163","0.326","0.795"
"Actr1a",NA,"-0.411","5.051","-0.485"
"Sufu",NA,"-0.322","1.640","-0.797"
"Arl3",NA,"0.330","3.328","0.493"
"Sfxn2",NA,"-8.112e-02","1.388","-0.226"
"Wbp1l",NA,"-1.668","9.740","-1.641"
"Borcs7",NA,"3.622e-02","0.443","0.176"
"As3mt",NA,"-3.453e-02","1.286","-1.000e-01"
"Cnnm2",NA,"-0.691","0.881","-2.653"
"Nt5c2",NA,"-0.444","5.491","-0.503"
"Ina",NA,"-9.305e-02","0.117","-0.458"
"Pcgf6",NA,"0.726","0.895","2.769"
"Taf5",NA,"0.261","0.920","0.974"
"Atp5md",NA,"6.643e-02","3.240","8.913e-02"
"Pdcd11",NA,"0.323","1.643","0.736"
