"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Egln1","1.000","-0.371","2.894","-0.587"
"Tsnax","1.000","0.420","3.209","0.634"
"Disc1","1.000","-0.128","1.762","-0.291"
"Sipa1l2","1.000","0.490","2.338","0.956"
"Map10","1.000","1.504e-02","0.554","7.459e-02"
"Ntpcr","1.000","-1.258","2.722","-2.247"
"Map3k21","1.000","4.065e-02","4.631","5.183e-02"
"Kcnk1","1.000","0.354","10.826","0.302"
"Slc35f3","1.000","-0.304","0.241","-1.516"
"Coa6","1.000","-0.220","2.075","-0.459"
"Tarbp1","1.000","0.387","0.941","1.391"
"Irf2bp2","1.000","-0.193","26.499","-0.132"
"Tomm20","1.000","-0.730","4.673","-0.962"
"Rbm34","1.000","-0.733","2.773","-1.270"
"Pard3","1.000","-9.083e-02","6.484","-0.101"
"Nrp1","1.000","-1.073","1.205","-3.796"
"Itgb1","1.000","-0.981","12.394","-0.823"
"Ccdc7a","1.000","2.859e-02","0.530","0.142"
"Alkbh8","1.000","0.191","1.301","0.538"
"Cwf19l2","1.000","0.239","6.537","0.252"
"Aasdhppt","1.000","-0.103","3.998","-0.150"
"Kbtbd3","1.000","0.425","0.387","2.091"
"Msantd4","1.000","-1.005e-02","1.542","-2.361e-02"
"Casp1","1.000","-3.780e-02","1.400","-0.101"
"Casp4","1.000","0.362","2.002","0.719"
"Pdgfd","1.000","-0.201","1.783","-0.429"
"Ddi1","1.000","-0.304","0.241","-1.516"
"Dcun1d5","1.000","0.264","11.338","0.221"
"Mmp13","1.000","-0.839","0.964","-3.473"
"Mmp12","1.000","-0.304","0.241","-1.516"
"Mmp20","1.000","-0.304","0.241","-1.516"
"Tmem123","1.000","-0.786","3.663","-1.112"
"Birc2","1.000","0.293","2.967","0.465"
"Birc3","1.000","-1.250","1.275","-3.870"
"Yap1","1.000","0.982","6.297","1.058"
"Cfap300","1.000","-0.304","0.241","-1.516"
"Cep126","1.000","-0.390","1.012","-1.445"
"Arhgap42","1.000","-0.243","8.992","-0.240"
"Jrkl","1.000","-0.283","2.003","-0.599"
"Ccdc82","1.000","-0.475","7.717","-0.465"
"Mtmr2","1.000","0.315","0.289","1.565"
"Cep57","1.000","0.951","6.687","0.997"
"Fam76b","1.000","-0.237","11.357","-0.204"
"Sesn3","1.000","-0.364","2.317","-0.719"
"Endod1","1.000","0.746","1.403","2.250"
"Cwc15","1.000","-1.313","9.036","-1.208"
"Amotl1","1.000","0.503","1.109","1.768"
"Fut4","1.000","0.203","2.362","0.370"
"Ankrd49","1.000","-0.151","3.208","-0.229"
"Mre11a","1.000","-0.487","9.138","-0.461"
"Panx1","1.000","-4.406e-02","0.458","-0.219"
"Vstm5","1.000","-0.383","9.731","-0.382"
