"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Mydgf","1.000","-0.313","19.915","-0.298"
"Dpp9","1.000","-9.802e-02","13.742","-0.104"
"Fem1a","1.000","-0.661","8.747","-0.857"
"Ticam1","1.000","-1.132","3.347","-2.055"
"Plin3","1.000","0.273","28.745","0.244"
"Uhrf1","1.000","0.169","0.511","0.594"
"Kdm4b","1.000","0.529","6.355","0.702"
"Ptprs","1.000","-9.740e-02","4.034","-0.159"
"Safb2","1.000","0.625","24.755","0.556"
"Safb","1.000","-0.610","7.951","-0.810"
"Micos13","1.000","-0.180","55.256","-0.157"
"Lonp1","1.000","-0.140","30.821","-0.124"
"Catsperd","1.000","0.166","0.171","0.809"
"Ranbp3","1.000","-0.601","5.787","-0.884"
"Vmac","1.000","-0.590","3.628","-1.010"
"Ndufa11","1.000","-0.200","36.773","-0.184"
"Nrtn","1.000","-0.439","12.666","-0.508"
"Dus3l","1.000","-0.308","18.981","-0.328"
"Prr22","1.000","0.687","3.116","1.290"
"Rfx2","1.000","0.475","1.766","1.039"
"Mllt1","1.000","-0.180","8.505","-0.219"
"Acer1","1.000","0.124","0.569","0.423"
"Clpp","1.000","-0.631","11.509","-0.709"
"Alkbh7","1.000","0.159","16.185","0.163"
"Gtf2f1","1.000","-0.200","5.776","-0.288"
"Khsrp","1.000","-0.179","16.231","-0.182"
"Slc25a23","1.000","0.527","34.402","0.440"
"Crb3","1.000","9.688e-02","17.186","9.506e-02"
"Dennd1c","1.000","0.169","0.511","0.594"
"Tubb4a","1.000","-0.367","0.622","-1.283"
"Tnfsf9","1.000","0.329","5.627e-02","1.621"
"C3","1.000","-1.062","7.407","-1.558"
"Gpr108","1.000","-1.121","8.897","-1.468"
"Trip10","1.000","0.103","3.067","0.188"
"Vav1","1.000","0.405","0.284","1.968"
"Nudt12","1.000","-0.188","6.082","-0.267"
"Efna5","1.000","-0.315","18.545","-0.304"
"Fbxl17","1.000","0.255","6.693","0.334"
"Fer","1.000","0.525","5.272","0.765"
"Pja2","1.000","0.135","18.230","0.133"
"Man2a1","1.000","-0.781","21.744","-0.814"
"Vapa","1.000","-0.253","10.229","-0.308"
"Txndc2","1.000","0.266","0.397","1.126"
"Rab31","1.000","7.205e-02","21.223","6.733e-02"
"Ppp4r1","1.000","5.701e-02","7.654","7.172e-02"
"Ralbp1","1.000","-1.281e-02","13.688","-1.356e-02"
"Twsg1","1.000","-0.589","5.729","-0.869"
"Ankrd12","1.000","-0.645","2.724","-1.221"
"Ndufv2","1.000","0.263","37.232","0.218"
"Washc1","1.000","-0.130","10.102","-0.149"
"Ddx11","1.000","0.432","1.195","1.100"
"Mtcl1","1.000","-3.057e-02","1.475","-7.126e-02"
"Rab12","1.000","-0.221","3.977","-0.364"
"Ptprm","1.000","0.166","0.171","0.809"
"Lama1","1.000","0.203","0.113","0.992"
"Arhgap28","1.000","0.255","1.080","0.672"
"Epb41l3","1.000","0.239","0.455","0.880"
"Zbtb14","1.000","1.124e-02","3.356","1.961e-02"
"Akain1","1.000","0.329","5.627e-02","1.621"
